epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2183.4,1.8117,3.69713,1.48561,0.00262,0.26342,0.06292,0.02549,1.3131,4.31814,1.18159,0.00034296,0.00034296,0.00034296
2,3616.67,1.3416,2.19624,1.12404,0.00194,0.20487,0.00731,0.00302,1.265,4.48401,1.28666,0.000630889,0.000630889,0.000630889
3,5066.22,1.29162,1.95424,1.0974,0.89967,0.01989,0.07298,0.04485,1.16226,3.80525,1.06703,0.000848083,0.000848083,0.000848083
4,6608.81,1.23431,1.71916,1.06295,0.2723,0.08058,0.19932,0.12717,1.22762,3.18014,1.13174,0.000994541,0.000994541,0.000994541
5,7640.08,1.23703,1.60776,1.05096,0.31013,0.18334,0.23278,0.14809,1.29197,2.96721,1.11289,0.000863116,0.000863116,0.000863116
6,8770.42,1.23259,1.49097,1.05871,0.32033,0.36368,0.30946,0.19595,1.16215,2.07498,1.05248,0.000721645,0.000721645,0.000721645
7,9925.14,1.1747,1.34479,1.01789,0.68907,0.48215,0.34447,0.22018,1.1364,1.79156,1.03336,0.000580174,0.000580174,0.000580174
8,11125.7,1.11998,1.24845,1.00293,0.35736,0.50407,0.35154,0.2188,1.10487,1.62992,1.02132,0.000438703,0.000438703,0.000438703
9,12338.4,1.10513,1.16548,0.98578,0.70528,0.49683,0.35703,0.23491,1.03082,1.47978,0.98464,0.000297232,0.000297232,0.000297232
10,13675.2,1.06454,1.13811,0.96863,0.70946,0.52528,0.3835,0.25475,1.0613,1.43827,0.99011,0.000155761,0.000155761,0.000155761
